Date,Title,Score
12/21/17,CIMB encourages Malaysians to save to forward their ambitions¾,0
12/7/17,Robotics Reduce CIMB's turnaround time for banking tasks by up to¾90%,1
12/6/17,CIMB Foundation empowers youths to shape ASEAN's future,0
11/30/17,CIMB Foundation launches MOZEK to nurture diversity and inclusivity among students.,0
11/28/17,CIMB Group announces RM3.41 billion Net Profit for 9M17,1
11/23/17,"CIMB ASEAN Stock Challenge 2.0: six teams eye Tokyo and US$12,000 cash¾",0
11/23/17,CIMB is first bank to receive regulatory sandbox approval for e-KYC¾,1
11/23/17,ASEAN and Australian business must drive deeper engagement to capitalise on massive opportunities from the digital revolution¾,0
11/16/17,CIMB receives approval to operate a bank branch in the Philippines,1
11/15/17,CIMB Foundation to Nurture Cycling Champions with Junior Cycling Malaysia ¾,0
11/13/17,CIMB Heightens Security Measures To Safeguard Customersê Transactions,1
11/11/17,CIMB Group Pledges 1% of Profit Before Tax (PBT) to Strengthen Regional CSR,1
11/7/17,CIMB Announces Six-Month Repayment Relief for Customers and Staff Affected by Floods in Penang and Kedah,0
11/7/17,CIMB Appoints Dr. Donald Hanna as Group Chief Economist,0
11/5/17,CIMB Confirms All Branches in Penang and Kedah in Operation Tomorrow,0
10/30/17,CIMBês Flex4CSR Introduces One-Month Paid Leave for CSR Volunteers,0
10/13/17,Minister of International Trade and Industry and CIMB Co-Host Networking Lunch for Foreign Multinationals and Chambers of Commerce ¾,0
10/8/17,CIMB bags 15 prestigious regional awards,1
10/4/17,CIMB receives approval for closure of subsidiary in Middle East,1
10/1/17,World No. 3 Matsuyama joins starry field at next weekês CIMB Classic,0
10/1/17,CIMB-Principal Honours Top Private Retirement Scheme Partners,0
9/28/17,CIMB clinches Gold Award for Best Digital Experience at Customer Experience Asia Excellence Awards 2017,1
9/25/17,Thomas and Schauffele Get into Winning Form Ahead Of CIMB Classic,0
9/24/17,CIMB-Principal launches new CIMB Islamic Global Equity Fund to tap into global growth,1
9/21/17,Stellar line-up of global golf stars primed for CIMB Classic in October,0
9/18/17,CIMB ASEAN Stock Challenge 2.0 introduces mobile trading and predictive data analytics,0
8/28/17,CIMB Groupês 1H17 Net Profit Up 35.3% to RM2.28 billion,1
8/21/17,ASEAN Roundtable Series on¾–Deepening Capital Markets in ASEAN: Opportunities and Challenges”,0
8/16/17,CIMB Foundation supports 33 athletes representing Malaysia in the 2017 SEA Games and ASEAN Para Games,0
8/15/17,Two-time defending CIMB Classic champion and winner of the PGA Championship Justin Thomas set to defend title in 2017,0
8/13/17,"The CIMB Color RunÈ Wows 13,000 Runners in Kuala Lumpur",0
8/7/17,CIMB's new Biz123 provides simple 'one-stop' banking and solutions platform for businesses,1
7/28/17,Chia Qualifies for CIMB Classic After Play-Off Victory in CIMB National Championship,0
7/27/17,Battling Chia Retains One-Shot Lead at CIMB National Championship,0
7/26/17,Chia Takes Charge with Strong Finish at CIMB National Championship,0
7/25/17,Leong charges to the top with Superb 65 at CIMB National Championship,0
7/24/17,CIMB awards scholarships to ASEANês brightest young minds,0
7/24/17,CIMBês Subsidiary Touch •n Go and Ant Financial to Promote Innovative & Digital Financial Services in Malaysia,0
7/24/17,Green Primed for Title Defence at CIMB National Championship,0
7/21/17,CIMB National Championship qualifies Malaysian talents for PGA TOUR Sanctioned CIMB Classic¾,0
7/19/17,ASEAN Roundtable Series on–Chinaês Belt and Road Initiative in ASEAN: economic opportunities and ASEAN centrality”,0
7/16/17,CIMB tops Bloomberg's MYR Bonds League Table for 12 Consecutive Years¾,1
7/13/17,CIMB and Tsinghua University Hold High-Powered Forum on ASEAN-China Belt and Road Opportunities,0
7/6/17,CIMB-Principal unveils Malaysiaês first-in-market multi asset fund to invest directly into the China markets¾,0
6/18/17,CIMB introduces 1-month paid paternity leave,0
6/15/17,Online Approval for New CIMB Lazada Prepaid Mastercard¾,1
6/6/17,CIMB and China Galaxy Formalise Strategic Partnership in Stockbroking Business,1
6/2/17,CIMB clinches 21 awards at The Asset Triple A Islamic Finance Awards 2017 ¾,1
5/31/17,CIMB urges customers to use mandatory 6-digit PIN for Card Transactions,0
5/25/17,Raja Muda Selangor engages with youths at CIMB Foundationês financial literacy programme,0
5/26/17,"CIMB awards RM100,000 in scholarships to promising entrepreneurs",0
5/24/17,CIMB Group announces record quarterly net profit of RM1.18 billion for 1Q17,1
5/22/17,CIMB is top award winner and Best JomPAY Bank for second consecutive year¾,1
5/14/17,CIMB Bags Top RAM Awards of Distinction and Special Merit Award,1
4/30/17,"CIMB-Sponsored Color RunÈ at three ASEAN cities to attract 35,000 runners",0
4/27/17,CIMB Gives 0% Interest Housing Loans for Lower Income Staff,1
4/20/17,ASEAN Roundtable Series on–Lessons learned from Brexit: risks and opportunities for ASEAN?”,0
4/13/17,"CIMB Foundationês financial literacy programme, Be$MART debuts in Sarawak",0
4/10/17,CIMB Appoints Olivier Crespin as New Chief FinTech Officer,0
4/9/17,CIMB-Principal Declares Unit Split for award-winning CIMB-Principal Global Titans Fund and RM114 Million Distribution for 40 Funds in Q1 2017,1
4/7/17,ASEAN-Japan Innovation Network (AJIN)¾,0
3/26/17,Inaugural CIMB Cycle at Seri Menanti draws Royal Guests and Cycling Enthusiasts¾,0
3/22/17,CIMB enables Alipay mobile wallet in Malaysia,0
3/19/17,CIMB wins The Asian Bankerês Award for Best Retail Bank in Malaysia,1
3/14/17,ASEAN Roundtable Series on–Dealing with a changing world order: What will Trumpês economic and foreign policies mean for ASEAN?”,0
3/9/17,CIMB Bank successfully launched and priced Reg S only USD1 billion dual tranche notes issuance,1
3/5/17,CIMB-Principal Is First Asset Management Company in Malaysia to obtain Renminbi Qualified Foreign Institutional Investor (RQFII) Licence,1
3/1/17,Award-Winning CIMB-Principal Declares RM51 Million Gross Distribution for its Funds,1
2/28/17,CIMB Group announces record revenue of RM16.07 billion for FY16,1
2/25/17,CIMB Talent Trail Rewards Studentsê Employability and English Skills¾,0
2/15/17,National Olympians Azizulhasni and Fatehah to Anchor CIMB Pro-Cycling Team,0
2/5/17,CIMB-Principal launches Preferred Securities Fund for income and capital appreciation,0
1/25/17,Deejays prove you can go cashless with CIMB PETRONAS Debit Mastercard!,0
1/19/17,CIMB Reassures Customers on Security of Contactless Cards,0