Date,High,Low,Open,Close,Volume,yhat,target,us_china,trump,malaysia
1/2/17,4.510000229,4.510000229,4.510000229,4.510000229,0,4.422927659,0,62,58.42857143,39.42857143
1/3/17,4.570000172,4.510000229,4.53000021,4.539999962,12056200,4.438929924,0,64,61.85714286,39.85714286
1/4/17,4.619999886,4.539999962,4.539999962,4.599999905,19551700,4.461631533,0,66,65.28571429,40.28571429
1/5/17,4.670000076,4.599999905,4.619999886,4.659999847,20520700,4.4904982,0,68,68.71428571,40.71428571
1/6/17,4.739999771,4.659999847,4.659999847,4.739999771,18234800,4.515629843,0,70,72.14285714,41.14285714
1/9/17,4.789999962,4.739999771,4.75,4.760000229,13204800,4.534182008,0,72.42857143,81.71428571,41.14285714
1/10/17,4.800000191,4.75,4.760000229,4.800000191,15809700,4.546838972,0,70.85714286,84.42857143,40.28571429
1/11/17,4.829999924,4.800000191,4.809999943,4.820000172,19984100,4.56758494,0,69.28571429,87.14285714,39.42857143
1/12/17,4.869999886,4.820000172,4.820000172,4.860000134,23162100,4.585672914,0,67.71428571,89.85714286,38.57142857
1/13/17,4.880000114,4.809999943,4.849999905,4.820000172,11672300,4.591468543,0,66.14285714,92.57142857,37.71428571
1/16/17,4.820000172,4.710000038,4.820000172,4.71999979,19593700,4.579001599,0,67.57142857,98.28571429,36.71428571
1/17/17,4.75,4.710000038,4.71999979,4.739999771,13155400,4.588269788,0,72.14285714,98.57142857,37.42857143
1/18/17,4.820000172,4.739999771,4.739999771,4.820000172,19247000,4.597981493,0,76.71428571,98.85714286,38.14285714
1/19/17,4.840000153,4.789999962,4.829999924,4.820000172,11505300,4.601234141,0,81.28571429,99.14285714,38.85714286
1/20/17,4.860000134,4.820000172,4.820000172,4.840000153,19609400,4.600769008,0,85.85714286,99.42857143,39.57142857
1/23/17,4.880000114,4.800000191,4.800000191,4.880000114,23353600,4.662522242,0,89.85714286,92.57142857,39.85714286
1/24/17,4.929999828,4.860000134,4.880000114,4.920000076,32865800,4.693481721,0,84.71428571,85.14285714,38.71428571
1/25/17,4.96999979,4.920000076,4.929999828,4.960000038,22045300,4.709873553,0,82.14285714,81.42857143,38.14285714
1/26/17,5.019999981,4.949999809,4.960000038,5.019999981,30947000,4.712535199,0,73.14285714,73.28571429,37.85714286
1/27/17,5.019999981,4.960000038,5.019999981,5,7421100,4.715180832,0,69.28571429,72.57142857,38.71428571
1/31/17,5.010000229,4.909999847,5,4.96999979,6884300,4.835480842,0,65.42857143,71.85714286,39.57142857
2/2/17,5,4.940000057,5,4.949999809,7697500,4.850430801,0,57.71428571,70.42857143,41.28571429
2/3/17,4.980000019,4.929999828,4.949999809,4.96999979,9580100,4.856300737,0,54.14285714,64.71428571,43
2/6/17,5,4.960000038,4.96999979,4.96999979,11135800,4.895363387,0,58.28571429,60.42857143,43
2/7/17,4.980000019,4.920000076,4.96999979,4.96999979,10250700,4.890721871,0,62.42857143,56.14285714,43
2/8/17,5,4.940000057,4.940000057,5,13899300,4.880606216,0,66.57142857,51.85714286,43
2/10/17,5.150000095,5.059999943,5.079999924,5.079999924,24387100,4.882291074,0,70.71428571,47.57142857,43
2/13/17,5.190000057,5.110000134,5.110000134,5.170000076,17998000,4.878326608,0,76.85714286,37.57142857,43.14285714
2/14/17,5.179999828,5.150000095,5.170000076,5.170000076,18436200,4.857446236,0,74.71428571,36.14285714,43.28571429
2/15/17,5.179999828,5.150000095,5.170000076,5.170000076,17645500,4.840457537,0,72.57142857,34.71428571,43.42857143
2/16/17,5.170000076,5.070000172,5.170000076,5.090000153,13791100,4.833113977,0,70.42857143,33.28571429,43.57142857
2/17/17,5.099999905,5.070000172,5.090000153,5.079999924,12141700,4.830888054,0,68.28571429,31.85714286,43.71428571
2/20/17,5.139999866,5.070000172,5.079999924,5.090000153,7797100,4.803105648,0,62.85714286,28.42857143,44.28571429
2/21/17,5.139999866,5.079999924,5.119999886,5.079999924,7434400,4.806146204,0,61.71428571,27.85714286,44.57142857
2/22/17,5.130000114,5.039999962,5.090000153,5.079999924,19755600,4.825353277,0,60.57142857,27.28571429,44.85714286
2/23/17,5.099999905,5.070000172,5.090000153,5.090000153,8821800,4.851141399,0,59.42857143,26.71428571,45.14285714
2/24/17,5.110000134,5.059999943,5.079999924,5.079999924,11758700,4.868932561,0,58.28571429,26.14285714,45.42857143
2/27/17,5.110000134,4.940000057,5.070000172,4.940000057,8797100,4.877882537,0,57.28571429,24.85714286,45.57142857
2/28/17,5.010000229,4.909999847,4.949999809,4.96999979,19316000,4.905993431,0,58.57142857,24.71428571,45.14285714
3/1/17,5.110000134,5.010000229,5.039999962,5.090000153,19179100,4.949111621,0,59.85714286,24.57142857,44.71428571
3/2/17,5.269999981,5.110000134,5.110000134,5.199999809,19108700,4.9916596,0,61.14285714,24.42857143,44.28571429
3/3/17,5.25,5.130000114,5.21999979,5.21999979,17092100,5.021310483,0,62.42857143,24.28571429,43.85714286
3/6/17,5.5,5.210000038,5.230000019,5.460000038,29294400,5.082846963,1,64.57142857,24.42857143,42.42857143
3/7/17,5.480000019,5.389999866,5.46999979,5.449999809,21801600,5.118468414,0,64.14285714,24.85714286,41.85714286
3/8/17,5.440000057,5.360000134,5.389999866,5.369999886,13200500,5.15265134,0,63.71428571,25.28571429,41.28571429
3/9/17,5.429999828,5.349999905,5.360000134,5.380000114,11297800,5.176484774,0,63.28571429,25.71428571,40.71428571
3/10/17,5.409999847,5.309999943,5.400000095,5.369999886,17860300,5.191454111,0,62.85714286,26.14285714,40.14285714
3/13/17,5.420000076,5.369999886,5.369999886,5.400000095,16426700,5.268942962,0,60.28571429,26.28571429,38.85714286
3/14/17,5.46999979,5.369999886,5.400000095,5.420000076,21192000,5.300399786,0,58.57142857,25.57142857,38.71428571
3/15/17,5.400000095,5.349999905,5.400000095,5.360000134,9596400,5.318640481,0,56.85714286,24.85714286,38.57142857
3/16/17,5.590000153,5.400000095,5.400000095,5.590000153,49447300,5.323903073,0,55.14285714,24.14285714,38.42857143
3/17/17,5.769999981,5.579999924,5.590000153,5.650000095,54988200,5.325893602,0,53.42857143,23.42857143,38.28571429
3/20/17,5.829999924,5.619999886,5.670000076,5.650000095,30954400,5.360394887,0,53.71428571,22,40
3/21/17,5.730000019,5.619999886,5.659999847,5.650000095,15961200,5.36343047,0,57.42857143,22,42
3/22/17,5.630000114,5.550000191,5.599999905,5.599999905,22453200,5.36000671,0,61.14285714,22,44
3/23/17,5.699999809,5.599999905,5.630000114,5.599999905,24020000,5.36090153,0,79.42857143,21.71428571,51.57142857
3/24/17,5.659999847,5.610000134,5.650000095,5.619999886,11266800,5.374367511,0,82.85714286,21.42857143,51.14285714
3/27/17,5.71999979,5.619999886,5.639999866,5.619999886,15788500,5.415832123,0,86.28571429,21.14285714,50.71428571
3/28/17,5.630000114,5.550000191,5.610000134,5.559999943,13847000,5.401594861,0,89.71428571,20.85714286,50.28571429
3/29/17,5.610000134,5.559999943,5.570000172,5.579999924,16857800,5.38600706,0,93.14285714,20.57142857,49.85714286
4/3/17,5.630000114,5.519999981,5.559999943,5.590000153,14029300,5.422084592,0,98.28571429,19.57142857,47.28571429
4/4/17,5.610000134,5.550000191,5.590000153,5.570000172,26709600,5.40752708,0,96.57142857,19.14285714,45.57142857
4/5/17,5.579999924,5.550000191,5.570000172,5.559999943,29113900,5.397718528,0,94.85714286,18.71428571,43.85714286
4/6/17,5.570000172,5.480000019,5.559999943,5.489999771,22467000,5.398423063,0,93.14285714,18.28571429,42.14285714
4/7/17,5.519999981,5.429999828,5.480000019,5.460000038,19226800,5.403610068,0,91.42857143,17.85714286,40.42857143
4/10/17,5.5,5.449999809,5.460000038,5.46999979,10645500,5.378118283,0,84.57142857,17,37.14285714
4/11/17,5.5,5.420000076,5.480000019,5.460000038,8374500,5.373213719,0,81.14285714,17,37.28571429
4/12/17,5.46999979,5.429999828,5.460000038,5.46999979,9352800,5.381292902,0,77.71428571,17,37.42857143
4/13/17,5.46999979,5.329999924,5.46999979,5.380000114,24831200,5.39517075,0,74.28571429,17,37.57142857
4/14/17,5.400000095,5.320000172,5.380000114,5.380000114,8596800,5.402962765,0,70.85714286,17,37.71428571
4/17/17,5.480000019,5.369999886,5.369999886,5.449999809,8019100,5.386712286,0,62.28571429,16.85714286,37.42857143
4/18/17,5.5,5.460000038,5.5,5.480000019,11131900,5.394190839,0,60.57142857,16.71428571,36.85714286
4/19/17,5.5,5.449999809,5.46999979,5.480000019,4937700,5.407721946,0,58.85714286,16.57142857,36.28571429
4/20/17,5.53000021,5.460000038,5.460000038,5.5,9097700,5.418147788,0,57.14285714,16.42857143,35.71428571
4/21/17,5.650000095,5.53000021,5.53000021,5.610000134,12234500,5.42259465,0,55.42857143,16.28571429,35.14285714
4/24/17,5.630000114,5.630000114,5.630000114,5.630000114,0,5.479982691,0,52.85714286,16.85714286,34.28571429
4/25/17,5.809999943,5.650000095,5.71999979,5.75,23817500,5.51822923,0,53.28571429,17.28571429,34.42857143
4/26/17,5.789999962,5.739999771,5.769999981,5.75,18217900,5.546600522,0,53.71428571,17.71428571,34.57142857
4/27/17,5.820000172,5.75,5.789999962,5.75,15391200,5.558511492,0,54.14285714,18.14285714,34.71428571
4/28/17,5.800000191,5.739999771,5.78000021,5.739999771,14800400,5.562136229,0,53.57142857,20,35.85714286
5/2/17,5.940000057,5.75,5.800000191,5.880000114,21615500,5.68235469,0,52.14285714,21,36.71428571
5/3/17,5.960000038,5.78000021,5.909999847,5.809999943,9946600,5.705337452,0,49.28571429,23,38.42857143
5/4/17,5.840000153,5.710000038,5.809999943,5.789999962,16082200,5.714069374,0,47.85714286,24,39.28571429
5/5/17,5.840000153,5.739999771,5.78000021,5.809999943,16025700,5.720334012,0,44.42857143,25.85714286,40.42857143
5/8/17,5.849999905,5.809999943,5.820000172,5.829999924,14414400,5.776114616,0,43.85714286,25.71428571,39.85714286
5/9/17,5.880000114,5.840000153,5.840000153,5.849999905,17008100,5.78498289,0,43.28571429,25.57142857,39.28571429
5/11/17,5.980000019,5.900000095,5.929999828,5.909999847,25853800,5.787216974,0,42.71428571,25.42857143,38.71428571
5/12/17,5.960000038,5.909999847,5.929999828,5.949999809,19914800,5.800515128,0,42.14285714,25.28571429,38.14285714
5/15/17,5.96999979,5.920000076,5.949999809,5.940000057,7276600,5.856453624,0,40.57142857,25,37.71428571
5/16/17,5.989999771,5.920000076,5.960000038,5.96999979,16644000,5.857447276,0,40.14285714,25,38.42857143
5/17/17,5.96999979,5.929999828,5.96999979,5.949999809,7486500,5.858367064,0,39.71428571,25,39.14285714
5/18/17,5.96999979,5.900000095,5.900000095,5.940000057,24938900,5.868849136,0,39.28571429,25,39.85714286
5/19/17,5.989999771,5.929999828,5.949999809,5.960000038,29244400,5.889214971,0,38.85714286,25,40.57142857
5/22/17,5.989999771,5.940000057,5.989999771,5.949999809,12673800,5.94256698,0,41.71428571,24.57142857,41.71428571
5/23/17,6.010000229,5.909999847,5.949999809,5.989999771,18033400,5.965046557,0,49.14285714,23.71428571,41.14285714
5/24/17,6.230000019,5.949999809,6,6.130000114,27869200,6.00375592,1,52.85714286,23.28571429,40.85714286
5/25/17,6.429999828,6.170000076,6.239999771,6.320000172,33326500,6.054898142,0,56.57142857,22.85714286,40.57142857
5/26/17,6.400000095,6.289999962,6.300000191,6.349999905,26516100,6.10447376,0,61.42857143,21.71428571,39.42857143
5/29/17,6.360000134,6.309999943,6.349999905,6.340000153,11919500,6.185919361,0,58.85714286,21.42857143,38.85714286
5/31/17,6.400000095,6.289999962,6.300000191,6.400000095,47276500,6.279547135,0,56.28571429,21.14285714,38.28571429
6/1/17,6.539999962,6.369999886,6.380000114,6.5,20931900,6.340440772,0,53.71428571,20.85714286,37.71428571
6/2/17,6.679999828,6.5,6.5,6.610000134,23130300,6.390793412,0,51.14285714,20.57142857,37.14285714
6/5/17,6.869999886,6.610000134,6.630000114,6.75,20839200,6.474196806,0,47.71428571,18.85714286,38.28571429
6/6/17,6.829999924,6.659999847,6.75,6.739999771,16414800,6.508519131,0,48.57142857,18.28571429,39.42857143
6/7/17,6.800000191,6.670000076,6.75,6.710000038,20957500,6.54430675,0,49.42857143,17.71428571,40.57142857
6/8/17,6.71999979,6.619999886,6.699999809,6.670000076,19777200,6.57050969,0,50.28571429,17.14285714,41.71428571
6/9/17,6.679999828,6.550000191,6.659999847,6.630000114,20974800,6.582952479,0,51.14285714,15.85714286,42.71428571
6/13/17,6.769999981,6.599999905,6.679999828,6.610000134,45231300,6.636827227,0,50.28571429,15.71428571,41.42857143
6/14/17,6.75,6.630000114,6.630000114,6.730000019,28389500,6.645803387,0,49.42857143,15.57142857,40.14285714
6/15/17,6.860000134,6.739999771,6.75,6.760000229,30211600,6.638757467,0,48.57142857,15.42857143,38.85714286
6/16/17,6.78000021,6.730000019,6.769999981,6.730000019,34510100,6.621754733,0,47.71428571,15.28571429,37.57142857
6/19/17,6.730000019,6.650000095,6.730000019,6.670000076,14070900,6.590617036,0,49.71428571,15.14285714,36.14285714
6/20/17,6.699999809,6.619999886,6.670000076,6.639999866,18262700,6.5774248,0,53.42857143,15.28571429,37.28571429
6/21/17,6.679999828,6.619999886,6.630000114,6.650000095,20196900,6.555115951,0,57.14285714,15.42857143,38.42857143
6/22/17,6.699999809,6.619999886,6.670000076,6.650000095,15637200,6.531542451,0,60.85714286,15.57142857,39.57142857
6/23/17,6.679999828,6.610000134,6.670000076,6.679999828,8934100,6.517929157,0,64.57142857,15.71428571,40.71428571
6/26/17,6.659999847,6.659999847,6.659999847,6.659999847,0,6.512363242,0,70.57142857,16.28571429,43.28571429
6/27/17,6.659999847,6.659999847,6.659999847,6.659999847,0,6.487246317,0,69.14285714,16.57142857,43.57142857
6/28/17,6.829999924,6.639999866,6.75,6.679999828,21960600,6.453558068,0,67.71428571,16.85714286,43.85714286
6/29/17,6.690000057,6.630000114,6.690000057,6.639999866,8854900,6.427759276,0,66.28571429,17.14285714,44.14285714
6/30/17,6.670000076,6.429999828,6.659999847,6.579999924,15453000,6.419975525,0,64.85714286,17.42857143,44.42857143
7/3/17,6.570000172,6.400000095,6.480000019,6.519999981,15299600,6.417417053,0,67,17.57142857,46.57142857
7/4/17,6.570000172,6.489999771,6.539999962,6.510000229,24469900,6.393494792,0,72,17.14285714,48.14285714
7/5/17,6.519999981,6.489999771,6.510000229,6.510000229,11837400,6.368566435,0,77,16.71428571,49.71428571
7/6/17,6.599999905,6.5,6.510000229,6.599999905,12243100,6.353217463,0,82,16.28571429,51.28571429
7/7/17,6.599999905,6.539999962,6.590000153,6.550000191,13557000,6.34701104,0,87,15.85714286,52.85714286
7/10/17,6.550000191,6.480000019,6.53000021,6.53000021,12319500,6.300507224,0,93.57142857,15.42857143,55
7/11/17,6.5,6.340000153,6.449999809,6.389999866,25819500,6.280410399,0,90.14285714,15.85714286,54
7/12/17,6.400000095,6.289999962,6.400000095,6.309999943,20729200,6.272673412,0,86.71428571,16.28571429,53
7/13/17,6.369999886,6.300000191,6.329999924,6.340000153,23927300,6.275638337,0,83.28571429,16.71428571,52
7/14/17,6.409999847,6.309999943,6.389999866,6.340000153,12973100,6.278380436,0,79.85714286,17.14285714,51
7/17/17,6.369999886,6.239999771,6.349999905,6.28000021,10224700,6.237517523,0,73.28571429,17.85714286,47.57142857
7/18/17,6.349999905,6.289999962,6.329999924,6.329999924,13756700,6.23062124,0,73.57142857,17.71428571,46.14285714
7/19/17,6.5,6.349999905,6.360000134,6.420000076,12896400,6.233639844,0,73.85714286,17.57142857,44.71428571
7/20/17,6.449999809,6.300000191,6.449999809,6.309999943,21321100,6.238308444,0,74.14285714,17.42857143,43.28571429
7/21/17,6.389999866,6.329999924,6.349999905,6.349999905,20201300,6.237546982,0,74.42857143,17.28571429,41.85714286
7/24/17,6.400000095,6.329999924,6.389999866,6.340000153,8340100,6.258173785,0,77.42857143,16.71428571,39.28571429
7/25/17,6.449999809,6.329999924,6.409999847,6.349999905,11523200,6.290294593,0,79.85714286,16.42857143,39.57142857
7/26/17,6.400000095,6.349999905,6.380000114,6.400000095,10637600,6.320529481,0,82.28571429,16.14285714,39.85714286
7/27/17,6.610000134,6.429999828,6.429999828,6.590000153,25349300,6.336668213,1,84.71428571,15.85714286,40.14285714
7/28/17,6.730000019,6.570000172,6.599999905,6.639999866,60290200,6.339547584,0,87.14285714,15.57142857,40.42857143
7/31/17,6.699999809,6.5,6.699999809,6.550000191,27703200,6.397629853,0,88.28571429,16.42857143,42.14285714
8/1/17,6.639999866,6.510000229,6.599999905,6.510000229,13198400,6.439742885,0,84.57142857,17.85714286,43.28571429
8/2/17,6.570000172,6.53000021,6.539999962,6.559999943,14161200,6.472035659,0,80.85714286,19.28571429,44.42857143
8/3/17,6.599999905,6.510000229,6.559999943,6.599999905,11286300,6.488307337,0,77.14285714,20.71428571,45.57142857
8/4/17,6.769999981,6.599999905,6.670000076,6.619999886,12685200,6.495997169,0,73.42857143,22.14285714,46.71428571
8/7/17,6.710000038,6.619999886,6.639999866,6.679999828,8310400,6.553708059,0,63.57142857,24,56.28571429
8/8/17,6.769999981,6.690000057,6.699999809,6.760000229,14608500,6.570703823,0,61.14285714,23,63.57142857
8/9/17,6.789999962,6.730000019,6.78000021,6.760000229,7135800,6.5760872,0,58.71428571,22,70.85714286
8/10/17,6.78000021,6.699999809,6.760000229,6.78000021,6269900,6.576972449,0,56.28571429,21,78.14285714
8/11/17,6.800000191,6.699999809,6.730000019,6.800000191,12182100,6.584620223,0,53.85714286,20,85.42857143
8/14/17,6.809999943,6.739999771,6.75,6.78000021,10078800,6.63965118,0,47.85714286,17.42857143,94.28571429
8/15/17,6.809999943,6.75,6.769999981,6.78000021,7486600,6.640235306,0,46.71428571,16.85714286,88.57142857
8/16/17,6.789999962,6.730000019,6.789999962,6.769999981,10244200,6.633278823,0,45.57142857,16.28571429,82.85714286
8/17/17,6.809999943,6.730000019,6.769999981,6.769999981,7602600,6.629910683,0,44.42857143,15.71428571,77.14285714
8/18/17,6.769999981,6.690000057,6.710000038,6.769999981,7143000,6.63558721,0,43.28571429,15.14285714,71.42857143
8/21/17,6.769999981,6.71999979,6.75,6.75,10316000,6.64789089,0,43.42857143,13.85714286,57.85714286
8/22/17,6.769999981,6.71999979,6.769999981,6.75,10687900,6.645238487,0,45.85714286,13.71428571,55.71428571
8/23/17,6.760000229,6.71999979,6.75,6.739999771,15680600,6.65345429,0,50.71428571,13.42857143,51.42857143
8/24/17,6.730000019,6.510000229,6.710000038,6.71999979,15095800,6.675312886,0,53.14285714,13.28571429,49.28571429
8/25/17,6.71999979,6.619999886,6.699999809,6.71999979,5878200,6.700947426,0,56.57142857,12.14285714,48.42857143
8/28/17,6.78000021,6.619999886,6.650000095,6.78000021,6736500,6.700163774,0,55.85714286,11.71428571,50.14285714
8/29/17,6.800000191,6.679999828,6.789999962,6.699999809,19642300,6.694557187,0,55.14285714,11.28571429,51.85714286
8/31/17,7.079999924,7.079999924,7.079999924,7.079999924,0,6.7277925,0,54.42857143,10.85714286,53.57142857
9/1/17,7.079999924,7.079999924,7.079999924,7.079999924,0,6.745862357,0,50.71428571,10.57142857,55.57142857
9/5/17,7,6.710000038,7,6.760000229,15962400,6.705339857,0,48.42857143,11.14285714,54.14285714
9/6/17,6.809999943,6.71999979,6.760000229,6.75,6913300,6.700719987,0,46.14285714,11.71428571,52.71428571
9/7/17,6.909999847,6.739999771,6.769999981,6.909999847,16763400,6.692363653,1,43.85714286,12.28571429,51.28571429
9/8/17,6.869999886,6.760000229,6.869999886,6.760000229,6675800,6.671747246,0,41.57142857,12.85714286,49.85714286
9/11/17,6.809999943,6.760000229,6.760000229,6.769999981,10169400,6.589119843,0,37.57142857,14.42857143,46.71428571
9/12/17,6.800000191,6.730000019,6.78000021,6.800000191,18131600,6.57601848,0,38.14285714,14.85714286,46.42857143
9/13/17,6.800000191,6.71999979,6.78000021,6.71999979,5199900,6.560144669,0,38.71428571,15.28571429,46.14285714
9/14/17,6.760000229,6.710000038,6.739999771,6.730000019,7145000,6.531873019,0,39.28571429,15.71428571,45.85714286
9/15/17,6.75,6.53000021,6.730000019,6.75,25743300,6.491886997,0,39.85714286,16.14285714,45.57142857
9/18/17,6.710000038,6.619999886,6.699999809,6.690000057,11429700,6.392081878,0,41.57142857,16.57142857,44.85714286
9/19/17,6.670000076,6.460000038,6.650000095,6.460000038,20290300,6.367901855,0,42.14285714,16.14285714,44.71428571
9/20/17,6.369999886,6.21999979,6.320000172,6.309999943,72186200,6.337563372,0,42.71428571,15.71428571,44.57142857
9/21/17,6.389999866,6.289999962,6.309999943,6.349999905,56228200,6.30393642,0,43.28571429,15.28571429,44.42857143
9/22/17,6.349999905,6.349999905,6.349999905,6.349999905,0,6.277936896,0,43.85714286,14.85714286,44.28571429
9/25/17,6.349999905,6.260000229,6.349999905,6.309999943,61025200,6.271315656,0,43,14.14285714,43.71428571
9/26/17,6.340000153,6.260000229,6.300000191,6.340000153,58168500,6.259027218,0,41,14.28571429,43.42857143
9/27/17,6.340000153,6.269999981,6.309999943,6.300000191,16930900,6.234407041,0,39,14.42857143,43.14285714
9/28/17,6.349999905,6.269999981,6.300000191,6.269999981,21701200,6.211330097,0,37,14.57142857,42.85714286
9/29/17,6.320000172,6.260000229,6.300000191,6.300000191,23282200,6.204577944,0,35,14.71428571,42.57142857
10/2/17,6.349999905,6.289999962,6.300000191,6.340000153,17738300,6.247060438,0,32.85714286,14.85714286,42.42857143
10/3/17,6.369999886,6.320000172,6.340000153,6.360000134,22027900,6.243212639,0,34.71428571,14.71428571,42.85714286
10/4/17,6.449999809,6.349999905,6.360000134,6.409999847,16795300,6.232033887,0,36.57142857,14.57142857,43.28571429
10/5/17,6.420000076,6.369999886,6.400000095,6.400000095,11585600,6.226129589,0,38.42857143,14.42857143,43.71428571
10/6/17,6.440000057,6.400000095,6.409999847,6.409999847,14384900,6.230885293,0,40.28571429,14.28571429,44.14285714
10/9/17,6.460000038,6.409999847,6.409999847,6.420000076,15881900,6.23367999,0,43.28571429,13.85714286,45
10/10/17,6.329999924,6.25,6.300000191,6.28000021,8175400,6.221297003,0,42.57142857,13.71428571,45
10/11/17,6.300000191,6.260000229,6.269999981,6.289999962,10968600,6.216204345,1,41.85714286,13.57142857,45
10/12/17,6.320000172,6.28000021,6.320000172,6.289999962,10931100,6.222477699,0,41.14285714,13.42857143,45
10/13/17,6.329999924,6.289999962,6.300000191,6.320000172,13546900,6.232770937,1,40.42857143,13.28571429,45
10/16/17,6.340000153,6.230000019,6.340000153,6.239999771,8948300,6.205474445,0,40.42857143,13.42857143,46
10/17/17,6.210000038,6.139999866,6.199999809,6.150000095,29179000,6.190582548,0,41.85714286,13.85714286,47
10/18/17,6.150000095,6.150000095,6.150000095,6.150000095,0,6.184776285,0,43.28571429,14.28571429,48
10/19/17,6.210000038,6.150000095,6.199999809,6.179999828,35395900,6.183226263,0,44.71428571,14.71428571,49
10/20/17,6.21999979,6.170000076,6.199999809,6.190000057,13239800,6.176909989,0,46.14285714,15.14285714,50
10/23/17,6.230000019,6.170000076,6.190000057,6.179999828,14523400,6.147075073,0,51.28571429,15.85714286,51.28571429
10/24/17,6.210000038,6.050000191,6.199999809,6.110000134,22162300,6.158734441,0,53.57142857,15.71428571,50.57142857
10/25/17,6.119999886,6.019999981,6.110000134,6.099999905,10448000,6.174738314,0,55.85714286,15.57142857,49.85714286
10/26/17,6.099999905,6.039999962,6.090000153,6.050000191,10868800,6.180393959,0,58.14285714,15.42857143,49.14285714
10/27/17,6.090000153,6.050000191,6.050000191,6.070000172,12482000,6.169317119,1,60.42857143,15.28571429,48.42857143
10/30/17,6.139999866,6.070000172,6.099999905,6.099999905,5725000,6.144564859,0,63,14.71428571,46.85714286
10/31/17,6.190000057,6.099999905,6.130000114,6.139999866,16536200,6.163537892,1,61,14.42857143,46.71428571
11/1/17,6.179999828,6.130000114,6.130000114,6.139999866,8196300,6.179782966,1,59,14.14285714,46.57142857
11/2/17,6.179999828,6.139999866,6.150000095,6.159999847,6448800,6.181146467,1,57,13.85714286,46.42857143
11/3/17,6.239999771,6.139999866,6.170000076,6.210000038,14822700,6.168707105,1,55,13.57142857,46.28571429
11/6/17,6.230000019,6.190000057,6.210000038,6.210000038,7798400,6.149877736,0,49.28571429,12.71428571,45.57142857
11/7/17,6.300000191,6.190000057,6.199999809,6.25,11699400,6.149491147,1,47.57142857,12.42857143,45.14285714
11/8/17,6.25,6.179999828,6.230000019,6.179999828,5833900,6.138370801,0,45.85714286,12.14285714,44.71428571
11/9/17,6.239999771,6.159999847,6.159999847,6.210000038,5458100,6.118317037,1,44.14285714,11.85714286,44.28571429
11/10/17,6.239999771,6.179999828,6.21999979,6.179999828,8262300,6.099950365,0,42.42857143,11.57142857,43.85714286
11/13/17,6.199999809,6.130000114,6.179999828,6.130000114,7824000,6.092663471,0,42.14285714,11.71428571,42.42857143
11/14/17,6.179999828,6.050000191,6.130000114,6.090000153,7904400,6.080078572,0,45.28571429,12.42857143,41.85714286
11/15/17,6.110000134,6,6.090000153,6,12182400,6.056163526,0,48.42857143,13.14285714,41.28571429
11/16/17,6.03000021,5.880000114,5.929999828,5.920000076,11864600,6.030842596,0,51.57142857,13.85714286,40.71428571
11/17/17,6.019999981,5.920000076,5.929999828,6,12502900,6.013660558,1,54.71428571,14.57142857,40.14285714
11/20/17,6.019999981,5.980000019,6,5.980000019,8121700,5.981160256,0,59.14285714,16.28571429,39.14285714
11/21/17,6,5.949999809,5.96999979,5.949999809,7720500,5.962014319,0,57.28571429,16.57142857,39.28571429
11/22/17,5.980000019,5.940000057,5.960000038,5.949999809,11100400,5.949743397,0,55.42857143,16.85714286,39.42857143
11/23/17,6.059999943,5.949999809,5.96999979,5.980000019,6929200,5.952610258,1,53.57142857,17.14285714,39.57142857
11/24/17,5.989999771,5.960000038,5.980000019,5.980000019,4506300,5.967036874,0,51.71428571,17.42857143,39.71428571
11/27/17,6,5.929999828,6,5.96999979,6946000,5.962410972,0,46.14285714,17.71428571,41.14285714
11/28/17,5.96999979,5.929999828,5.949999809,5.929999828,11081800,5.948343702,0,44.28571429,17.42857143,42.28571429
11/29/17,5.96999979,5.909999847,5.949999809,5.940000057,11308300,5.950105395,0,42.42857143,17.14285714,43.42857143
11/30/17,6.090000153,5.940000057,5.940000057,6.050000191,47423000,5.970498217,1,40.57142857,16.85714286,44.57142857
12/1/17,6.050000191,6.050000191,6.050000191,6.050000191,0,5.997945465,0,38.71428571,16.57142857,45.71428571
12/4/17,6.03000021,5.949999809,6.010000229,5.949999809,19065500,6.019367451,0,37.14285714,15.42857143,47.85714286
12/5/17,6,5.949999809,5.949999809,5.96999979,11611300,6.023247055,1,39.28571429,14.85714286,47.71428571
12/6/17,6.019999981,5.949999809,5.949999809,5.96999979,21382900,6.038819174,1,41.42857143,14.28571429,47.57142857
12/7/17,6.039999962,5.96999979,6,5.96999979,23724000,6.059919597,0,43.57142857,13.71428571,47.42857143
12/8/17,5.989999771,5.949999809,5.96999979,5.960000038,8558200,6.075789094,0,45.71428571,13.14285714,47.28571429
12/11/17,5.96999979,5.920000076,5.920000076,5.949999809,9418900,6.101172096,1,49.71428571,11.85714286,45.85714286
12/12/17,6.190000057,5.929999828,5.940000057,6.179999828,5912300,6.128604195,1,49.42857143,11.71428571,44.71428571
12/13/17,6.25,6.070000172,6.159999847,6.179999828,14576200,6.162210881,1,49.14285714,11.57142857,43.57142857
12/14/17,6.440000057,6.150000095,6.179999828,6.369999886,26865200,6.190017827,1,48.85714286,11.42857143,42.42857143
12/15/17,6.420000076,6.269999981,6.380000114,6.309999943,26191400,6.206596422,0,48.57142857,11.28571429,41.28571429